Page,Type,Problem Number,Language
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",In-Class,10,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",In-Class,10,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",In-Class,10,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",In-Class,12,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",In-Class,12,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",In-Class,12,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",Homework,8,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",Homework,8,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Deques",Homework,8,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Lists",In-Class,9,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Lists",In-Class,9,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Lists",In-Class,9,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Lists",In-Class,11,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Lists",In-Class,11,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Lists",In-Class,11,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,4,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,4,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,4,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,5,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,5,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,5,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,8,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,8,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Queues",In-Class,8,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Representing%20Linear%20Structures",In-Class,6,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Representing%20Linear%20Structures",In-Class,6,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Representing%20Linear%20Structures",In-Class,6,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Representing%20Linear%20Structures",In-Class,8,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Representing%20Linear%20Structures",In-Class,8,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Representing%20Linear%20Structures",In-Class,8,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,3,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,3,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,3,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,5,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,5,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,5,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,6,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,6,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Linear%20Structures/Stacks",In-Class,6,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/2-3%20Trees",Homework,10,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/2-3%20Trees",Homework,10,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/2-3%20Trees",Homework,10,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/AVL%20Trees",Homework,8,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/AVL%20Trees",Homework,8,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/AVL%20Trees",Homework,8,Python
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/Binary%20Search%20Trees",Homework,9,Java
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/Binary%20Search%20Trees",Homework,9,C++
"https://cusack.hope.edu/DAIADS/?path=Data%20Structures/Trees/Binary%20Search%20Trees",Homework,9,Python
